NAME                    VERSION                                  TYPE                    
@types/node             12.20.42                                 npm                      
Simple Launcher         1.1.0.14                                 binary  (+5 duplicates)  
adduser                 3.118ubuntu5                             deb                      
apscheduler             3.11.2                                   python                   
apt                     2.4.14                                   deb                      
apt-utils               2.4.14                                   deb                      
autocommand             2.2.2                                    python                   
backports-tarfile       1.2.0                                    python                   
base-files              12ubuntu4.7                              deb                      
base-passwd             3.5.52build1                             deb                      
bash                    5.1-6ubuntu1.1                           deb                      
beautifulsoup4          4.14.3                                   python                   
bsdutils                1:2.37.2-4ubuntu3.4                      deb                      
ca-certificates         20240203~22.04.1                         deb                      
catatonit               0.1.7-1                                  deb                      
certifi                 2026.1.4                                 python                   
cfscrape                2.1.1                                    python                   
charset-normalizer      3.4.4                                    python                   
cheroot                 11.1.2                                   python                   
cherrypy                18.10.0                                  python                   
cli                     UNKNOWN                                  binary                   
cli-32                  UNKNOWN                                  binary                   
cli-64                  UNKNOWN                                  binary                   
cli-arm64               UNKNOWN                                  binary                   
configparser            7.2.0                                    python                   
coreutils               8.32-4.1ubuntu1.2                        deb                      
cron                    3.0pl1-137ubuntu3                        deb                      
curl                    7.81.0-1ubuntu1.21                       deb                      
dash                    0.5.11+git20210903+057cd650a4ed-3build1  deb                      
debconf                 1.5.79ubuntu1                            deb                      
debianutils             5.5-1ubuntu2                             deb                      
diffutils               1:3.8-0ubuntu2                           deb                      
dirmngr                 2.2.27-3ubuntu2.5                        deb                      
dpkg                    1.21.1ubuntu2.6                          deb                      
dpkg-dev                1.21.1ubuntu2.6                          deb                      
e2fsprogs               1.46.5-2ubuntu1.2                        deb                      
feedparser              6.0.12                                   python                   
findutils               4.8.0-1ubuntu3                           deb                      
freeglut3               2.8.1-6                                  deb                      
gcc-12-base             12.3.0-1ubuntu1~22.04.2                  deb                      
gnupg                   2.2.27-3ubuntu2.5                        deb                      
gnupg-l10n              2.2.27-3ubuntu2.5                        deb                      
gnupg-utils             2.2.27-3ubuntu2.5                        deb                      
gpg                     2.2.27-3ubuntu2.5                        deb                      
gpg-agent               2.2.27-3ubuntu2.5                        deb                      
gpg-wks-client          2.2.27-3ubuntu2.5                        deb                      
gpg-wks-server          2.2.27-3ubuntu2.5                        deb                      
gpgconf                 2.2.27-3ubuntu2.5                        deb                      
gpgsm                   2.2.27-3ubuntu2.5                        deb                      
gpgv                    2.2.27-3ubuntu2.5                        deb                      
grep                    3.7-1build1                              deb                      
gui                     UNKNOWN                                  binary                   
gui-32                  UNKNOWN                                  binary                   
gui-64                  UNKNOWN                                  binary                   
gui-arm64               UNKNOWN                                  binary                   
gzip                    1.10-4ubuntu4.1                          deb                      
hostname                3.23ubuntu2                              deb                      
idna                    3.11                                     python                   
init-system-helpers     1.62                                     deb                      
jaraco-collections      5.2.1                                    python                   
jaraco-context          6.1.0                                    python                   
jaraco-functools        4.4.0                                    python                   
jaraco-text             4.0.0                                    python                   
jq                      1.6-2.1ubuntu3.1                         deb                      
libacl1                 2.3.1-1                                  deb                      
libapt-pkg6.0           2.4.14                                   deb                      
libassuan0              2.5.5-1build1                            deb                      
libattr1                1:2.5.1-1build1                          deb                      
libaudit-common         1:3.0.7-1build1                          deb                      
libaudit1               1:3.0.7-1build1                          deb                      
libblkid1               2.37.2-4ubuntu3.4                        deb                      
libbrotli1              1.0.9-2build6                            deb                      
libbsd0                 0.11.5-1                                 deb                      
libbz2-1.0              1.0.8-5build1                            deb                      
libc-ares2              1.18.1-1ubuntu0.22.04.3                  deb                      
libc-bin                2.35-0ubuntu3.12                         deb                      
libc6                   2.35-0ubuntu3.12                         deb                      
libcap-ng0              0.7.9-2.2build3                          deb                      
libcap2                 1:2.44-1ubuntu0.22.04.2                  deb                      
libcom-err2             1.46.5-2ubuntu1.2                        deb                      
libcrypt1               1:4.4.27-1                               deb                      
libcurl4                7.81.0-1ubuntu1.21                       deb                      
libdb5.3                5.3.28+dfsg1-0.8ubuntu3                  deb                      
libdebconfclient0       0.261ubuntu1                             deb                      
libdeflate0             1.10-2                                   deb                      
libdrm-amdgpu1          2.4.113-2~ubuntu0.22.04.1                deb                      
libdrm-common           2.4.113-2~ubuntu0.22.04.1                deb                      
libdrm-intel1           2.4.113-2~ubuntu0.22.04.1                deb                      
libdrm-nouveau2         2.4.113-2~ubuntu0.22.04.1                deb                      
libdrm-radeon1          2.4.113-2~ubuntu0.22.04.1                deb                      
libdrm2                 2.4.113-2~ubuntu0.22.04.1                deb                      
libedit2                3.1-20210910-1build1                     deb                      
libelf1                 0.186-1ubuntu0.1                         deb                      
libexpat1               2.4.7-1ubuntu0.6                         deb                      
libext2fs2              1.46.5-2ubuntu1.2                        deb                      
libffi8                 3.4.2-4                                  deb                      
libgcc-s1               12.3.0-1ubuntu1~22.04.2                  deb                      
libgcrypt20             1.9.4-3ubuntu3                           deb                      
libgif7                 5.1.9-2ubuntu0.1                         deb                      
libgl1                  1.4.0-1                                  deb                      
libgl1-mesa-dri         23.2.1-1ubuntu3.1~22.04.3                deb                      
libglapi-mesa           23.2.1-1ubuntu3.1~22.04.3                deb                      
libglvnd0               1.4.0-1                                  deb                      
libglx-mesa0            23.2.1-1ubuntu3.1~22.04.3                deb                      
libglx0                 1.4.0-1                                  deb                      
libgmp10                2:6.2.1+dfsg-3ubuntu1                    deb                      
libgnutls30             3.7.3-4ubuntu1.7                         deb                      
libgpg-error0           1.43-3                                   deb                      
libgssapi-krb5-2        1.19.2-2ubuntu0.7                        deb                      
libhogweed6             3.7.3-1build2                            deb                      
libicu70                70.1-2                                   deb                      
libidn2-0               2.3.2-2build1                            deb                      
libjbig0                2.1-3.1ubuntu0.22.04.1                   deb                      
libjpeg-turbo8          2.1.2-0ubuntu1                           deb                      
libjpeg8                8c-2ubuntu10                             deb                      
libjpeg9                1:9d-1                                   deb                      
libjq1                  1.6-2.1ubuntu3.1                         deb                      
libjs-jquery            3.6.0+dfsg+~3.5.13-1                     deb                      
libk5crypto3            1.19.2-2ubuntu0.7                        deb                      
libkeyutils1            1.6.1-2ubuntu3                           deb                      
libkrb5-3               1.19.2-2ubuntu0.7                        deb                      
libkrb5support0         1.19.2-2ubuntu0.7                        deb                      
libksba8                1.6.0-2ubuntu0.2                         deb                      
libldap-2.5-0           2.5.19+dfsg-0ubuntu0.22.04.1             deb                      
libldap-common          2.5.19+dfsg-0ubuntu0.22.04.1             deb                      
libllvm15               1:15.0.7-0ubuntu0.22.04.3                deb                      
liblz4-1                1.9.3-2build2                            deb                      
liblzma5                5.2.5-2ubuntu1                           deb                      
libmd0                  1.0.4-1build1                            deb                      
libmount1               2.37.2-4ubuntu3.4                        deb                      
libmpdec3               2.5.1-2build2                            deb                      
libncurses6             6.3-2ubuntu0.1                           deb                      
libncursesw6            6.3-2ubuntu0.1                           deb                      
libnettle8              3.7.3-1build2                            deb                      
libnghttp2-14           1.43.0-1ubuntu0.2                        deb                      
libnode72               12.22.9~dfsg-1ubuntu3.6                  deb                      
libnpth0                1.6-3build2                              deb                      
libnsl2                 1.3.0-2build2                            deb                      
libonig5                6.9.7.1-2build1                          deb                      
libp11-kit0             0.24.0-6build1                           deb                      
libpam-modules          1.4.0-11ubuntu2.6                        deb                      
libpam-modules-bin      1.4.0-11ubuntu2.6                        deb                      
libpam-runtime          1.4.0-11ubuntu2.6                        deb                      
libpam0g                1.4.0-11ubuntu2.6                        deb                      
